idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
44,1,44,172651.0,7.854,1.22,1.22,1.396,15.0,16.0,-1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.905,-0.905,-0.457,19.5,13.56,71.28674686595046,-0.9935586873380917,71.30250000000001,3.1767796997737228,0.0676534485859624,3.1774999999999998,0.0017302241207811612,71.28733180186057,0.7189106169925294,-0.9506640661764786,0.9506640661764786,balanced
45,1,45,172856.0,8.059,1.304,1.304,1.05,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,1.22,-1.22,-0.57,20.0,13.906,74.36095051171147,-0.9235805165294495,74.37750000000001,3.0742036457610085,0.06997817080864226,3.0749999999999997,0.0004767728688374749,74.36149278404451,0.7499125764231184,-0.8788361077069696,0.8788361077069696,balanced
46,1,46,173065.0,8.268,1.565,1.565,1.121,15.0,14.0,1.0,13.0,15.0,13.0,15.0,-2.0,14.0,14.0,-1.0,1.304,-1.304,-0.556,20.5,14.257,77.39032008942777,-0.8408145113889364,77.40800000000002,3.0293695777163077,0.08276600514051316,3.0305,0.0015031543797080344,77.39081201164393,0.7804623206754905,-0.7942472946376347,0.7942472946376347,balanced
47,1,47,173287.0,8.49,1.784,1.784,1.072,15.0,16.0,-1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,1.565,-1.565,-0.651,19.5,13.708,80.82965221240848,-0.7336905279255895,80.84900000000002,3.439332122980702,0.10712398346334683,3.441,0.0011108024010077263,80.83007905368402,0.8151462614080088,-0.6850538262576531,0.6850538262576531,balanced
48,1,48,173431.0,8.634,1.783587,1.783587,1.072341,16.0,16.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,1.783587,-1.783587,-0.717266,19.0,13.442801,83.13253596429058,-0.6619798221877048,83.15300000000002,2.3028837518820993,0.07171070573788477,2.304,-3.1285632859098787e-06,83.13291923912679,0.8383696899850993,-0.611957449398394,0.611957449398394,balanced
49,1,49,173506.0,8.709,1.996,1.996,1.036,16.0,15.0,1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,1.784,-1.784,-0.717,19.5,13.759,84.29433063023579,-0.6214902657409224,84.31550000000001,1.16179466594521,0.04048955644678245,1.1624999999999999,0.0031890806228290027,84.29468933149946,0.8500857808079754,-0.5707688287810148,0.5707688287810148,balanced
50,1,50,173662.0,8.865,2.055,2.055,0.805,14.0,14.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0,1.996,-1.996,-0.783,21.0,14.697,86.47692602439876,-0.5431745880090616,86.49950000000001,2.1825953941629677,0.07831567773186081,2.184,0.00047149462393619756,86.47723720667574,0.872096098769094,-0.4911398606628228,0.4911398606628228,balanced
51,1,51,173895.0,9.098,2.042,2.042,0.505,15.0,16.0,-1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,2.055,-2.055,-0.775,19.5,13.851,90.08613263466393,-0.4144893347039025,90.11100000000002,3.6092066102651685,0.12868525330515915,3.6115000000000004,-6.282508729316576e-05,90.08636573146688,0.9084930398381553,-0.3602829099921333,0.3602829099921333,balanced
52,1,52,174105.0,9.308,2.237,2.237,0.654,16.0,15.0,1.0,13.0,15.0,13.0,15.0,-2.0,14.0,14.0,-1.0,2.042,-2.042,-0.734,19.5,13.899,93.33865205869772,-0.2874366043795912,93.36600000000001,3.252519424033796,0.1270527303243113,3.255,0.001045588952807664,93.33880811691502,0.9412929118905154,-0.23127310671952955,0.23127310671952955,balanced
53,1,53,174327.0,9.53,2.256,2.256,0.454,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,2.237,-2.237,-0.817,20.0,14.251,96.66607104057795,-0.15635297068282014,96.69600000000001,3.3274189818802276,0.13108363369677103,3.33,9.958335071438998e-05,96.66614762118766,0.9748480981416837,-0.09818733247341893,0.09818733247341893,balanced
54,1,54,174483.0,9.686,2.22,2.22,0.215,16.0,16.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,2.256,-2.256,-0.799,19.0,13.688,99.16019768190304,-0.059666378890510074,99.19200000000001,2.4941266413250927,0.09668659179231007,2.496,-0.00025173018057610233,99.16021563303934,1.0,0.0,0.0,balanced
