tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,dl,dr,cl,cr,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
74981,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=74981 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
75178,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=75178 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
75375,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=75375 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
75572,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=75572 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
75769,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=75769 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
75966,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=75966 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
76163,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=76163 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
76361,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=76361 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
76558,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=76558 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
76755,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=76755 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
76952,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=76952 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
77149,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=77149 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
77347,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=77347 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
77544,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=77544 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
77741,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=77741 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
