HB:t=15768,m=S,run=1,el=129,er=125,yaw=-0.2,yr=-0.2,pc=8,hd=2,dp=1,OL=90,OR=86,hi=0.11
HB:t=15897,m=S,run=1,el=127,er=131,yaw=-0.2,yr=-0.0,pc=6,hd=1,dp=0,OL=87,OR=85,hi=0.11
HB:t=16019,m=S,run=1,el=123,er=123,yaw=-0.2,yr=0.7,pc=11,hd=-1,dp=-2,OL=90,OR=92,hi=0.11
HB:t=16023,m=S,run=1,el=4,er=4,yaw=-0.2,yr=0.7,pc=15,hd=-1,dp=-2,OL=94,OR=96,hi=0.11
HB:t=16143,m=S,run=1,el=116,er=115,yaw=-0.0,yr=0.1,pc=5,hd=0,dp=0,OL=85,OR=85,hi=0.11
HB:t=16355,m=S,run=1,el=215,er=214,yaw=-0.0,yr=-0.2,pc=10,hd=1,dp=1,OL=91,OR=89,hi=0.11
HB:t=16355,m=S,run=1,el=215,er=214,yaw=-0.0,yr=-0.2,pc=10,hd=1,dp=1,OL=91,OR=89,hi=0.11
HB:t=16576,m=S,run=1,el=218,er=216,yaw=-0.0,yr=-0.3,pc=13,hd=1,dp=1,OL=94,OR=92,hi=0.11
HB:t=16577,m=S,run=1,el=218,er=216,yaw=-0.0,yr=-0.3,pc=13,hd=1,dp=1,OL=94,OR=92,hi=0.11
HB:t=16797,m=S,run=1,el=229,er=225,yaw=0.1,yr=-0.1,pc=16,hd=0,dp=0,OL=96,OR=96,hi=0.11
HB:t=16798,m=S,run=1,el=229,er=225,yaw=0.1,yr=-0.1,pc=16,hd=0,dp=0,OL=96,OR=96,hi=0.11
HB:t=16929,m=S,run=1,el=144,er=144,yaw=0.1,yr=0.0,pc=18,hd=0,dp=0,OL=98,OR=98,hi=0.11
HB:t=16929,m=S,run=1,el=144,er=144,yaw=0.1,yr=0.0,pc=18,hd=0,dp=0,OL=98,OR=98,hi=0.11
HB:t=17061,m=S,run=1,el=135,er=135,yaw=0.2,yr=0.7,pc=1,hd=-3,dp=-2,OL=78,OR=84,hi=0.11
HB:t=17273,m=S,run=1,el=212,er=209,yaw=0.3,yr=0.3,pc=7,hd=-3,dp=-1,OL=84,OR=90,hi=0.11
HB:t=17273,m=S,run=1,el=212,er=209,yaw=0.3,yr=0.3,pc=7,hd=-3,dp=-1,OL=84,OR=90,hi=0.11
HB:t=17495,m=S,run=1,el=208,er=210,yaw=0.2,yr=-0.2,pc=11,hd=0,dp=1,OL=91,OR=91,hi=0.11
HB:t=17495,m=S,run=1,el=208,er=210,yaw=0.2,yr=-0.2,pc=11,hd=0,dp=1,OL=91,OR=91,hi=0.11
HB:t=17716,m=S,run=1,el=218,er=217,yaw=0.0,yr=0.2,pc=14,hd=-1,dp=-1,OL=93,OR=95,hi=0.11
HB:t=17716,m=S,run=1,el=218,er=217,yaw=0.0,yr=0.2,pc=14,hd=-1,dp=-1,OL=93,OR=95,hi=0.11
HB:t=17848,m=S,run=1,el=137,er=137,yaw=0.0,yr=0.1,pc=16,hd=0,dp=0,OL=96,OR=96,hi=0.11
HB:t=17848,m=S,run=1,el=137,er=137,yaw=0.0,yr=0.1,pc=16,hd=0,dp=0,OL=96,OR=96,hi=0.11
HB:t=17980,m=S,run=1,el=132,er=133,yaw=0.0,yr=0.1,pc=1,hd=0,dp=0,OL=81,OR=81,hi=0.11
HB:t=18192,m=S,run=1,el=211,er=212,yaw=0.0,yr=0.6,pc=8,hd=-2,dp=-2,OL=86,OR=90,hi=0.11
HB:t=18192,m=S,run=1,el=211,er=212,yaw=0.0,yr=0.6,pc=8,hd=-2,dp=-2,OL=86,OR=90,hi=0.11
HB:t=18413,m=S,run=1,el=215,er=214,yaw=0.2,yr=0.4,pc=13,hd=-2,dp=-1,OL=91,OR=95,hi=0.11
HB:t=18414,m=S,run=1,el=215,er=214,yaw=0.2,yr=0.4,pc=13,hd=-2,dp=-1,OL=91,OR=95,hi=0.11
HB:t=18635,m=S,run=1,el=225,er=225,yaw=-0.0,yr=-0.6,pc=16,hd=2,dp=2,OL=98,OR=94,hi=0.11
