HB:t=7590,m=S,run=1,el=17,er=23,yaw=14.3,yr=51.2,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=7613,m=S,run=1,el=24,er=27,yaw=14.3,yr=13.3,pc=-55,hd=-3,OL=-58,OR=-52
HB:t=7731,m=S,run=1,el=-189,er=-125,yaw=14.1,yr=8.1,pc=60,hd=-3,OL=57,OR=60
HB:t=7778,m=S,run=1,el=-23,er=1,yaw=12.2,yr=-20.6,pc=-36,hd=0,OL=-36,OR=-36
HB:t=7790,m=S,run=1,el=-25,er=-16,yaw=10.7,yr=-29.9,pc=60,hd=-2,OL=58,OR=60
HB:t=7813,m=S,run=1,el=-34,er=-29,yaw=10.0,yr=-22.7,pc=60,hd=-2,OL=58,OR=60
HB:t=7932,m=S,run=1,el=259,er=266,yaw=9.6,yr=-16.2,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=7978,m=S,run=1,el=42,er=49,yaw=12.6,yr=26.0,pc=18,hd=-8,OL=10,OR=26
HB:t=7990,m=S,run=1,el=21,er=25,yaw=13.1,yr=18.3,pc=-58,hd=-3,OL=-60,OR=-55
HB:t=8013,m=S,run=1,el=27,er=30,yaw=13.0,yr=2.8,pc=-46,hd=-3,OL=-49,OR=-43
HB:t=8132,m=S,run=1,el=-140,er=-40,yaw=12.8,yr=1.1,pc=60,hd=-3,OL=57,OR=60
HB:t=8178,m=S,run=1,el=-8,er=9,yaw=11.4,yr=-17.4,pc=-45,hd=-1,OL=-46,OR=-44
HB:t=8190,m=S,run=1,el=-25,er=-19,yaw=10.0,yr=-27.2,pc=60,hd=-2,OL=58,OR=60
HB:t=8213,m=S,run=1,el=-32,er=-24,yaw=9.2,yr=-25.3,pc=43,hd=-2,OL=41,OR=45
HB:t=8331,m=S,run=1,el=134,er=163,yaw=8.6,yr=-18.8,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=8378,m=S,run=1,el=3,er=9,yaw=9.6,yr=-0.6,pc=60,hd=-5,OL=55,OR=60
HB:t=8390,m=S,run=1,el=25,er=26,yaw=9.7,yr=0.3,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=8413,m=S,run=1,el=33,er=35,yaw=9.5,yr=-4.9,pc=-47,hd=-2,OL=-49,OR=-45
HB:t=8531,m=S,run=1,el=-131,er=-86,yaw=9.4,yr=-3.4,pc=60,hd=-2,OL=58,OR=60
HB:t=8578,m=S,run=1,el=-6,er=9,yaw=6.7,yr=-33.2,pc=-44,hd=2,OL=-42,OR=-46
HB:t=8590,m=S,run=1,el=-24,er=-18,yaw=5.3,yr=-32.7,pc=60,hd=-1,OL=59,OR=60
HB:t=8613,m=S,run=1,el=-30,er=-23,yaw=4.8,yr=-20.6,pc=41,hd=-1,OL=40,OR=42
HB:t=8731,m=S,run=1,el=150,er=158,yaw=4.3,yr=-15.3,pc=-60,hd=0,OL=-60,OR=-60
HB:t=8778,m=S,run=1,el=3,er=10,yaw=5.8,yr=5.6,pc=53,hd=-4,OL=49,OR=57
HB:t=8790,m=S,run=1,el=24,er=25,yaw=6.1,yr=7.0,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=8813,m=S,run=1,el=31,er=33,yaw=5.9,yr=-2.6,pc=-45,hd=-1,OL=-46,OR=-44
HB:t=8931,m=S,run=1,el=-104,er=-69,yaw=5.8,yr=-1.9,pc=60,hd=-1,OL=59,OR=60
HB:t=8978,m=S,run=1,el=-3,er=7,yaw=3.0,yr=-34.8,pc=-44,hd=3,OL=-41,OR=-47
HB:t=8990,m=S,run=1,el=-21,er=-18,yaw=2.0,yr=-29.3,pc=60,hd=0,OL=60,OR=60
HB:t=9013,m=S,run=1,el=-31,er=-29,yaw=2.0,yr=-9.0,pc=54,hd=0,OL=54,OR=54
HB:t=9131,m=S,run=1,el=231,er=222,yaw=2.2,yr=-5.1,pc=-60,hd=0,OL=-60,OR=-60
HB:t=9178,m=S,run=1,el=32,er=32,yaw=7.2,yr=61.2,pc=32,hd=-9,OL=23,OR=41
HB:t=9190,m=S,run=1,el=22,er=26,yaw=7.5,yr=29.5,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=9213,m=S,run=1,el=26,er=34,yaw=7.4,yr=6.8,pc=-59,hd=-2,OL=-60,OR=-57
HB:t=9331,m=S,run=1,el=-235,er=-120,yaw=6.9,yr=2.6,pc=60,hd=-1,OL=59,OR=60
HB:t=9377,m=S,run=1,el=-33,er=-8,yaw=2.0,yr=-63.8,pc=-26,hd=6,OL=-20,OR=-32
HB:t=9390,m=S,run=1,el=-22,er=-19,yaw=0.5,yr=-47.6,pc=60,hd=0,OL=60,OR=60
HB:t=9413,m=S,run=1,el=-33,er=-33,yaw=-0.2,yr=-27.9,pc=60,hd=0,OL=60,OR=60
HB:t=9531,m=S,run=1,el=261,er=252,yaw=-0.3,yr=-18.5,pc=-60,hd=0,OL=-60,OR=-60
HB:t=9577,m=S,run=1,el=44,er=45,yaw=3.8,yr=42.3,pc=17,hd=-7,OL=10,OR=24
HB:t=9590,m=S,run=1,el=22,er=23,yaw=4.5,yr=26.8,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=9613,m=S,run=1,el=26,er=28,yaw=4.6,yr=10.2,pc=-51,hd=-1,OL=-52,OR=-50
HB:t=9731,m=S,run=1,el=-150,er=-101,yaw=4.7,yr=6.8,pc=60,hd=-1,OL=59,OR=60
HB:t=9777,m=S,run=1,el=-12,er=-1,yaw=4.6,yr=1.5,pc=-38,hd=-1,OL=-39,OR=-37
HB:t=9790,m=S,run=1,el=-23,er=-20,yaw=4.1,yr=-5.6,pc=60,hd=-1,OL=59,OR=60
HB:t=9813,m=S,run=1,el=-29,er=-27,yaw=4.1,yr=-2.5,pc=46,hd=-1,OL=45,OR=47
HB:t=9931,m=S,run=1,el=178,er=184,yaw=4.3,yr=-0.9,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=9977,m=S,run=1,el=10,er=16,yaw=9.0,yr=58.5,pc=51,hd=-9,OL=42,OR=60
HB:t=9990,m=S,run=1,el=24,er=29,yaw=9.7,yr=35.0,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=10013,m=S,run=1,el=29,er=33,yaw=10.0,yr=16.5,pc=-39,hd=-2,OL=-41,OR=-37
