HB:t=17123,m=S,run=1,el=92,er=91,yaw=0.1,yr=0.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=17123,m=S,run=1,el=71,er=72,yaw=0.1,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=17323,m=S,run=1,el=92,er=88,yaw=0.1,yr=-0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=17323,m=S,run=1,el=68,er=67,yaw=0.1,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=17453,m=S,run=1,el=91,er=90,yaw=0.1,yr=-0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=17457,m=S,run=1,el=3,er=3,yaw=0.1,yr=1.6,pc=12,hd=-1,dp=-1,OL=11,OR=13
HB:t=17571,m=S,run=1,el=91,er=94,yaw=0.3,yr=0.8,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=17690,m=S,run=1,el=89,er=91,yaw=0.3,yr=0.2,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=17698,m=S,run=1,el=5,er=6,yaw=0.3,yr=-0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=17784,m=S,run=1,el=62,er=60,yaw=0.1,yr=0.5,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=17902,m=S,run=1,el=86,er=84,yaw=0.1,yr=0.9,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=17911,m=S,run=1,el=3,er=3,yaw=0.1,yr=1.1,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=18016,m=S,run=1,el=77,er=79,yaw=0.2,yr=1.0,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=18134,m=S,run=1,el=85,er=87,yaw=0.2,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=18143,m=S,run=1,el=2,er=2,yaw=0.2,yr=0.9,pc=12,hd=-1,dp=0,OL=11,OR=13
HB:t=18248,m=S,run=1,el=86,er=87,yaw=0.0,yr=-0.6,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=18432,m=S,run=1,el=94,er=92,yaw=-0.2,yr=-1.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=18433,m=S,run=1,el=64,er=66,yaw=-0.2,yr=-1.5,pc=10,hd=0,dp=1,OL=10,OR=10
