idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
38,1,38,1195668.0,7.104,0.759,0.759,-0.783,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.774,-0.774,-0.139,17.0,11.649,77.23068987336876,0.72103021131482,77.27100000000002,2.6517673112106452,0.03513014652208976,2.6519999999999997,-9.871771787298286e-05,77.23107334233922,0.19138796860179036,0.6787144261860851,0.6787144261860851,balanced
39,1,39,1195829.0,7.265,0.844,0.844,-0.323,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.758,-0.758,-0.155,17.0,11.682,79.32346279748768,0.7518601979305017,79.36400000000002,2.092772924118925,0.030829986615681756,2.093,0.000708805477398557,79.32386284446582,0.19657415486321558,0.7083977512812418,0.7083977512812418,balanced
40,1,40,1196061.0,7.497,0.756,0.756,-0.343,13.0,12.0,1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.844,-0.844,-0.199,17.5,12.031,82.22321035640884,0.7901236861509278,82.26400000000002,2.8997475589211565,0.03826348822042599,2.9000000000000004,-0.0005296171523293132,82.22363093317442,0.20376013195632414,0.7450724252029917,0.7450724252029917,balanced
41,1,41,1196265.0,7.701,1.343,1.343,0.785,14.0,14.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.756,-0.756,-0.177,16.0,11.172,85.07842581642244,0.8570615446417342,85.12000000000002,2.855215460013598,0.06693785849080652,2.856,0.0035872138337558514,85.07888264071195,0.2108357920566328,0.8104458647941555,0.8104458647941555,balanced
42,1,42,1196470.0,7.906,1.729,1.729,1.168,13.0,12.0,1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.343,-1.343,-0.375,17.5,12.114,87.63975915283636,0.9343777122569148,87.68250000000002,2.5613333364139272,0.0773161676151806,2.5625,0.002629061819589509,87.64025795517027,0.21718319080490586,0.8863586337038281,0.8863586337038281,balanced
43,1,43,1196679.0,8.115,2.037,2.037,1.275,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.728,-1.728,-0.487,17.0,11.856,90.35504223034101,1.0309531181163034,90.39950000000002,2.715283077504645,0.09657540585938854,2.717,0.001978510892949035,90.35559353999231,0.22391212177997685,0.9814462869463428,0.9814462869463428,balanced
44,1,44,1196900.0,8.336,1.92,1.92,0.644,12.0,13.0,-1.0,11.0,13.0,11.0,13.0,-2.0,12.0,12.0,-1.0,2.037,-2.037,-0.568,17.5,12.203,93.11599131231894,1.1235080570730134,93.16200000000002,2.76094908197792,0.09255493895670999,2.7625,-0.0007391982714328922,93.11659291956805,0.23075421317789757,1.0724884529052157,1.0724884529052157,balanced
45,1,45,1197100.0,8.536,1.935,1.935,0.445,14.0,14.0,0.0,11.0,13.0,11.0,13.0,-2.0,12.0,12.0,-1.0,1.92,-1.92,-0.509,16.0,11.343,95.9143946854591,1.2180520214375186,95.96200000000002,2.7984033731401636,0.09454396436450507,2.8000000000000003,9.349978135684069e-05,95.91504767449626,0.23768912353963292,1.1654991222909976,1.1654991222909976,balanced
46,1,46,1197305.0,8.741,1.431,1.431,-0.572,12.0,14.0,-2.0,11.0,13.0,11.0,13.0,-2.0,12.0,12.0,-1.0,1.935,-1.935,-0.504,17.0,11.983,98.57856353692203,1.2846052399522174,98.62700000000002,2.6641688514629354,0.06655321851469882,2.665,-0.0033007352457979067,98.5792525914109,0.24429134651699588,1.2305925988295974,1.2305925988295974,balanced
47,1,47,1197509.0,8.945,0.538,0.538,-1.904,13.0,14.0,-1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.431,-1.431,-0.333,16.5,11.724,101.33244212815859,1.3104645657156355,101.38100000000003,2.7538785912365604,0.025859325763418,2.754,-0.0056593283298145836,101.33314493793213,0.2511158258248572,1.2549430356182407,1.2549430356182407,balanced
48,1,48,1197719.0,9.155,-0.291,-0.2909999999999999,-2.62,12.0,14.0,-2.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.537,-0.537,-0.052,17.0,12.067,104.06240691763924,1.2965992061493992,104.11100000000003,2.7299647894806447,-0.013865359566236368,2.73,-0.005299919230415016,104.06310172062686,0.2578809899019463,1.2395818957160951,1.2395818957160951,balanced
49,1,49,1197924.0,9.36,-0.499,-0.49899999999999994,-2.056,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.292,0.292,0.183,17.0,12.109,106.72730584809693,1.2733895003032645,106.77600000000004,2.664898930457689,-0.023209705846134576,2.665,-0.0013622081966785013,106.72798753417916,0.2644849002237765,1.2149120613480882,1.2149120613480882,balanced
50,1,50,1198128.0,9.564,-0.534,-0.534,-1.397,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.499,0.499,0.205,17.0,12.149,109.37919066794963,1.2486730637714765,109.42800000000004,2.6518848198526963,-0.02471643653178798,2.6519999999999997,-0.00023034134170362577,109.37985841352301,0.27105655795980366,1.1887426271172576,1.1887426271172576,balanced
51,1,51,1198333.0,9.769,-0.602,-0.602,-1.024,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.534,0.534,0.181,17.0,12.192,112.0440435685365,1.2206727381702485,112.09300000000005,2.6648529005868644,-0.02800032560122804,2.665,-0.0004453372950679706,112.04469557236992,0.2776603477093717,1.1592821989336008,1.1592821989336008,balanced
52,1,52,1198498.0,9.934,-0.617,-0.617,-0.697,14.0,13.0,1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.602,0.602,0.178,16.5,11.924,114.27141441432171,1.1966859637715046,114.32050000000005,2.2273708457852153,-0.02398677439874395,2.2275,-0.00011753058935988798,114.2720529411588,0.2831800094687407,1.1340750233299868,1.1340750233299868,balanced
