idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
43,1,43,50909.0,7.546,2.104,2.1040000000000036,8.467,9.0,9.0,0.0,7.0,11.0,7.0,11.0,-4.0,9.0,9.0,-2.0,5.916,-5.916,-1.89,15.0,9.454,37.50953914886829,-2.0041860762529318,37.940999999999995,1.834762229626473,0.06740593991699032,1.8359999999999999,0.011930219015538585,37.55903158438606,0.34802380120881155,0.5490313577738825,0.5490313577738825,balanced
44,1,44,51070.0,7.707,2.011,2.0110000000000037,5.301,8.0,10.0,-2.0,7.0,11.0,7.0,11.0,-4.0,9.0,9.0,-2.0,7.172,-7.172,-2.132,15.0,9.485,38.95764672190894,-1.9533386878998324,39.38999999999999,1.4481075730406456,0.05084738835309938,1.449,-0.0011201906172220346,39.000337852877635,0.36137901472488776,0.6981529202887977,0.6981529202887977,balanced
45,1,45,51302.0,7.939,0.693,0.6930000000000036,1.457,8.0,11.0,-3.0,8.0,12.0,8.0,12.0,-4.0,10.0,10.0,-2.0,7.078,-7.078,-1.955,14.5,9.226,41.161485509857506,-1.9266816675605631,41.593999999999994,2.2038387879485724,0.02665702033926925,2.204,-0.010437132278260099,41.197272507411206,0.38173591737186635,0.8744881796939683,0.8744881796939683,balanced
46,1,46,51506.0,8.143,-2.552,-2.5519999999999965,-4.621,7.0,10.0,-3.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,5.76,-5.76,-1.449,15.5,9.862,42.893765767562115,-2.00388988452521,43.327999999999996,1.732280257704607,-0.07720821696464689,1.734,-0.03266201512526874,42.93079549574946,0.39779882513158454,0.9151581797283754,0.9151581797283754,balanced
47,1,47,51711.0,8.348,-5.174,-5.173999999999997,-7.479,9.0,10.0,-1.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,2.515,-2.515,-0.368,14.5,9.3,44.83333053048643,-2.1795167060028655,45.275499999999994,1.9395647629243151,-0.1756268214776557,1.9474999999999998,-0.02349809139270415,44.87781102163474,0.41583996505844206,0.8717209611058833,0.8717209611058833,balanced
48,1,48,51920.0,8.557,-6.786,-6.785999999999996,-7.561,9.0,11.0,-2.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,-0.107,0.107,0.404,14.0,9.037,46.90868884740954,-2.4264739014397447,47.3655,2.0753583169231167,-0.24695719543687908,2.09,-0.013461582556051956,46.96515283457459,0.43518137514057564,0.7663447021431765,0.7663447021431765,balanced
49,1,49,52064.0,8.701,-6.785789,-6.785788999999997,-7.560876,9.0,9.0,0.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-1.718472,1.718472,0.795973,15.0,9.661278,48.19561016672466,-2.5796062556051504,48.6615,1.2869213193151166,-0.15313235416540552,1.2959999999999998,2.8415468531616887e-06,48.25950474485295,0.44717490247380504,0.7010061043715536,0.7010061043715536,balanced
50,1,50,52127.0,8.764,-8.523,-8.522999999999996,-7.853,9.0,9.0,0.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-1.718,1.718,0.796,15.0,9.672,48.756348473407876,-2.6636392932632007,49.2285,0.5607383066832162,-0.08403303765805008,0.567,-0.053474518080887476,48.82465684865888,0.45241162917123845,0.6552666294759957,0.6552666294759957,balanced
51,1,51,52288.0,8.925,-8.986,-8.985999999999997,-6.11,9.0,9.0,0.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.456,3.456,1.229,15.0,9.7,50.187564223000315,-2.889963127886394,50.677499999999995,1.4312157495924414,-0.22632383462319333,1.449,-0.005576862965309714,50.267942730215616,0.46578518587761525,0.5267097778538173,0.5267097778538173,balanced
52,1,52,52521.0,9.158,-8.462,-8.461999999999996,-3.185,9.0,9.0,0.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.919,3.919,1.255,15.0,9.742,52.26173560314622,-3.1985438884396684,52.774499999999996,2.074171380145904,-0.3085807605532744,2.097,0.004361242384573351,52.35828736286509,0.48515442023225014,0.35977171522715684,0.35977171522715684,balanced
