HB:t=2968,m=T,run=1,el=81,er=103,yaw=87.7,yr=175.8,pc=80,hd=-26,OL=54,OR=106,sb=4,lp=-149.00
HB:t=2969,m=T,run=1,el=81,er=103,yaw=87.7,yr=175.8,pc=80,hd=-26,OL=54,OR=106,sb=4,lp=-149.00
HB:t=3018,m=T,run=1,el=50,er=69,yaw=91.3,yr=176.4,pc=118,hd=-26,OL=92,OR=144,sb=4,lp=-149.00
HB:t=3053,m=T,run=1,el=33,er=42,yaw=94.9,yr=176.9,pc=143,hd=-26,OL=117,OR=169,sb=4,lp=-149.00
HB:t=3058,m=T,run=1,el=33,er=42,yaw=94.9,yr=176.9,pc=143,hd=-26,OL=117,OR=169,sb=4,lp=-149.00
HB:t=3136,m=T,run=1,el=100,er=136,yaw=98.5,yr=177.4,pc=70,hd=-26,OL=44,OR=96,sb=4,lp=-149.00
HB:t=3195,m=T,run=1,el=59,er=90,yaw=102.1,yr=177.7,pc=83,hd=-26,OL=57,OR=109,sb=4,lp=-149.00
HB:t=3195,m=T,run=1,el=59,er=90,yaw=102.1,yr=177.7,pc=83,hd=-26,OL=57,OR=109,sb=4,lp=-149.00
HB:t=3254,m=T,run=1,el=60,er=81,yaw=105.7,yr=178.0,pc=92,hd=-26,OL=66,OR=118,sb=4,lp=-149.00
HB:t=3254,m=T,run=1,el=60,er=81,yaw=105.7,yr=178.0,pc=92,hd=-26,OL=66,OR=118,sb=4,lp=-149.00
HB:t=3328,m=T,run=1,el=73,er=107,yaw=109.3,yr=178.3,pc=77,hd=-26,OL=51,OR=103,sb=4,lp=-149.00
HB:t=3328,m=T,run=1,el=73,er=107,yaw=109.3,yr=178.3,pc=77,hd=-26,OL=51,OR=103,sb=4,lp=-149.00
HB:t=3378,m=T,run=1,el=46,er=68,yaw=112.9,yr=178.6,pc=111,hd=-26,OL=85,OR=137,sb=4,lp=-149.00
HB:t=3379,m=T,run=1,el=46,er=68,yaw=112.9,yr=178.6,pc=111,hd=-26,OL=85,OR=137,sb=4,lp=-149.00
HB:t=3413,m=T,run=1,el=29,er=42,yaw=116.5,yr=178.8,pc=143,hd=-26,OL=117,OR=169,sb=0,lp=-149.00
HB:t=3495,m=T,run=1,el=90,er=132,yaw=120.1,yr=178.9,pc=75,hd=52,OL=127,OR=23,sb=16,lp=-29.00
HB:t=3496,m=T,run=1,el=90,er=132,yaw=120.1,yr=178.9,pc=75,hd=52,OL=127,OR=23,sb=16,lp=-29.00
HB:t=3554,m=T,run=1,el=74,er=64,yaw=123.7,yr=179.1,pc=90,hd=56,OL=146,OR=34,sb=16,lp=44.00
