HB:t=5717,m=S,run=1,el=70,er=67,yaw=-3.2,yr=-9.8,pc=11,hd=3,dp=1,OL=14,OR=8
HB:t=5880,m=S,run=1,el=141,er=119,yaw=-3.1,yr=-9.8,pc=10,hd=4,dp=1,OL=14,OR=6
HB:t=5881,m=S,run=1,el=70,er=53,yaw=-3.1,yr=-9.8,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=5911,m=S,run=1,el=18,er=12,yaw=-1.5,yr=0.2,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=6046,m=S,run=1,el=145,er=113,yaw=-1.0,yr=0.2,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=6049,m=S,run=1,el=3,er=3,yaw=-1.0,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=6105,m=S,run=1,el=57,er=44,yaw=0.0,yr=4.4,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6250,m=S,run=1,el=140,er=110,yaw=3.0,yr=4.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=6250,m=S,run=1,el=26,er=21,yaw=3.0,yr=4.4,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=6329,m=S,run=1,el=11,er=10,yaw=6.4,yr=4.4,pc=10,hd=-2,dp=0,OL=8,OR=12
HB:t=6329,m=S,run=1,el=68,er=67,yaw=6.4,yr=10.8,pc=10,hd=-4,dp=-2,OL=6,OR=14
HB:t=6448,m=S,run=1,el=115,er=128,yaw=7.0,yr=10.8,pc=9,hd=-6,dp=-2,OL=3,OR=15
HB:t=6456,m=S,run=1,el=1,er=1,yaw=7.0,yr=10.8,pc=11,hd=-4,dp=-2,OL=7,OR=15
HB:t=6523,m=S,run=1,el=67,er=92,yaw=6.0,yr=4.5,pc=10,hd=-3,dp=0,OL=7,OR=13
HB:t=6646,m=S,run=1,el=110,er=156,yaw=4.6,yr=4.5,pc=9,hd=-4,dp=0,OL=5,OR=13
HB:t=6655,m=S,run=1,el=1,er=3,yaw=4.6,yr=4.5,pc=10,hd=-2,dp=0,OL=8,OR=12
HB:t=6700,m=S,run=1,el=40,er=60,yaw=4.1,yr=0.9,pc=10,hd=-2,dp=0,OL=8,OR=12
HB:t=6735,m=S,run=1,el=9,er=14,yaw=0.7,yr=0.9,pc=10,hd=-2,dp=0,OL=8,OR=12
HB:t=6858,m=S,run=1,el=118,er=139,yaw=-0.4,yr=-6.8,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=6862,m=S,run=1,el=0,er=0,yaw=-0.4,yr=-6.8,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=6912,m=S,run=1,el=51,er=55,yaw=-1.5,yr=-10.4,pc=11,hd=2,dp=2,OL=13,OR=9
HB:t=6953,m=S,run=1,el=12,er=12,yaw=-3.7,yr=-10.4,pc=10,hd=2,dp=2,OL=12,OR=8
HB:t=6953,m=S,run=1,el=28,er=27,yaw=-3.7,yr=-15.3,pc=11,hd=4,dp=2,OL=15,OR=7
HB:t=7076,m=S,run=1,el=142,er=114,yaw=-4.1,yr=-15.3,pc=9,hd=5,dp=2,OL=14,OR=4
HB:t=7080,m=S,run=1,el=3,er=2,yaw=-4.1,yr=-15.3,pc=11,hd=4,dp=2,OL=15,OR=7
HB:t=7162,m=S,run=1,el=110,er=74,yaw=-0.8,yr=-4.0,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=7280,m=S,run=1,el=153,er=113,yaw=-0.2,yr=-4.0,pc=8,hd=1,dp=0,OL=9,OR=7
HB:t=7289,m=S,run=1,el=11,er=8,yaw=-0.2,yr=-4.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7330,m=S,run=1,el=40,er=30,yaw=0.5,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7370,m=S,run=1,el=13,er=10,yaw=3.0,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7371,m=S,run=1,el=28,er=22,yaw=3.0,yr=7.7,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=7493,m=S,run=1,el=118,er=113,yaw=4.2,yr=7.7,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=7497,m=S,run=1,el=18,er=19,yaw=4.2,yr=7.7,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=7547,m=S,run=1,el=40,er=46,yaw=4.8,yr=8.5,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=7587,m=S,run=1,el=10,er=12,yaw=5.6,yr=8.5,pc=11,hd=-3,dp=-1,OL=8,OR=14
HB:t=7588,m=S,run=1,el=30,er=37,yaw=5.6,yr=11.0,pc=11,hd=-4,dp=-2,OL=7,OR=15
HB:t=7711,m=S,run=1,el=114,er=152,yaw=5.2,yr=11.0,pc=9,hd=-5,dp=-2,OL=4,OR=14
HB:t=7714,m=S,run=1,el=18,er=25,yaw=5.2,yr=11.0,pc=10,hd=-4,dp=-2,OL=6,OR=14
HB:t=7786,m=S,run=1,el=60,er=87,yaw=2.1,yr=0.8,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=7905,m=S,run=1,el=115,er=147,yaw=0.5,yr=0.8,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=7913,m=S,run=1,el=3,er=4,yaw=0.5,yr=0.8,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7959,m=S,run=1,el=40,er=50,yaw=-0.1,yr=-2.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7994,m=S,run=1,el=10,er=12,yaw=-2.5,yr=-2.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=8117,m=S,run=1,el=120,er=120,yaw=-3.1,yr=-9.1,pc=9,hd=3,dp=1,OL=12,OR=6
HB:t=8121,m=S,run=1,el=2,er=1,yaw=-3.1,yr=-9.1,pc=11,hd=2,dp=1,OL=13,OR=9
HB:t=8192,m=S,run=1,el=82,er=69,yaw=-4.4,yr=-11.1,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=8312,m=S,run=1,el=147,er=116,yaw=-4.0,yr=-11.1,pc=9,hd=5,dp=2,OL=14,OR=4
HB:t=8321,m=S,run=1,el=8,er=7,yaw=-4.0,yr=-11.1,pc=9,hd=3,dp=2,OL=12,OR=6
HB:t=8387,m=S,run=1,el=81,er=59,yaw=-1.6,yr=-0.8,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=8512,m=S,run=1,el=152,er=121,yaw=-0.3,yr=-0.8,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=8520,m=S,run=1,el=8,er=6,yaw=-0.3,yr=-0.8,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8587,m=S,run=1,el=76,er=61,yaw=2.5,yr=6.9,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=8712,m=S,run=1,el=134,er=133,yaw=3.5,yr=6.9,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=8721,m=S,run=1,el=7,er=8,yaw=3.5,yr=6.9,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=8787,m=S,run=1,el=67,er=73,yaw=4.5,yr=8.5,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=8912,m=S,run=1,el=119,er=145,yaw=4.3,yr=8.5,pc=9,hd=-4,dp=-1,OL=5,OR=13
HB:t=8920,m=S,run=1,el=6,er=8,yaw=4.3,yr=8.5,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=8966,m=S,run=1,el=39,er=50,yaw=4.1,yr=5.6,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=9006,m=S,run=1,el=10,er=14,yaw=2.3,yr=5.6,pc=11,hd=-3,dp=-1,OL=8,OR=14
